pairId	DepthList	WidthList	Sent1SelfNum	Sent2SelfNum	InterSectNum
1	2|1|1|1|1|2|1|3|3|2|2|1|1|1|1|1|1	1|1|1|1|1|1|1|2|1|2|1|2|1|1|2|1|1	1029.0	1347.0	17.0
2	1|1|1|1|1|2|1|3|2|1|1|1|1|1	2|1|2|1|1|1|1|1|1|1|1|2|1|1	4147.0	1029.0	14.0
3	1	1	325.0	93.0	1.0
5			93.0	1029.0	0.0
9			325.0	1029.0	0.0
12	1	1	6.0	24.0	1.0
14			258.0	6.0	0.0
18			258.0	24.0	0.0
25			45.0	228.0	0.0
26			64.0	228.0	0.0
28	1	1	228.0	64.0	1.0
30	2|1|2|2|2|1|1|1|1|1|3|2|1	1|1|2|1|1|1|2|1|1|1|1|1|1	341.0	445.0	13.0
35	1	1	341.0	2556.0	1.0
40	1	1	766.0	341.0	1.0
42	1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|2|2|2|1|1|2|2|2|1|1|2|2|2|1|1|2|2|2|1|1|2|2|2|1|1|2|2|2|1|1|2|2|2|1	2|1|1|1|5|4|4|4|3|4|3|3|3|2|4|3|3|3|2|3|2|2|2|1|5|4|4|4|3|4|3|3|3|2|4|3|3|3|2|3|2|2|2|1|4|3|3|3|2|3|2|2|2|1|3|2|2|2|1|2|1|1|1	115.0	63.0	63.0
44	1|2|2|2|2|1|1|1|1|1|1|1	1|3|2|2|1|3|2|2|1|2|1|1	69.0	43.0	12.0
45	1|2|2|2|2|1|1|1|1|1|1|1	1|3|2|2|1|3|2|2|1|2|1|1	129.0	43.0	12.0
47			63.0	129.0	0.0
49			43.0	115.0	0.0
55	1|3|2|1|1|3|2|1|2|1	1|2|2|2|1|1|1|1|1|1	27.0	27.0	10.0
56	1|1|2|1	1|1|1|1	27.0	27.0	4.0
58	2|1|1	1|1|1	48.0	27.0	3.0
62	2|1|1	1|1|1	48.0	27.0	3.0
65	1|1|1	2|1|1	79.0	345.0	3.0
70	2|1|1|3|3|2|2|1|1|1|1|3|3|2|2|1|1|1	1|1|1|3|2|3|2|3|2|2|1|2|1|2|1|2|1|1	246.0	459.0	18.0
72	1	1	459.0	79.0	1.0
73	2|1|1|1|2|1|3|3|3|3|3|3|3|3|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|1|3|3|3|3|3|3|3|3|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1	1|1|1|1|1|1|4|4|4|3|3|3|3|2|4|4|4|3|3|3|3|2|4|4|4|3|3|3|3|2|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1	345.0	459.0	69.0
77	2|1|1|1|1|2|2|2|1|1|3|3|3|2|1|1|3|3|3|2|1	1|1|2|1|1|2|1|1|1|1|3|2|2|2|2|1|2|1|1|1|1	855.0	142.0	21.0
78	2|1|1|2|1|1|1|1|1	1|1|1|1|1|2|1|1|1	855.0	591.0	9.0
79	1	1	165.0	855.0	1.0
81			94.0	591.0	0.0
82	1	1	94.0	165.0	1.0
83			94.0	855.0	0.0
84			855.0	94.0	0.0
85			855.0	66.0	0.0
87	1|1|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|2|1	1|1|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1|1|1	45.0	51.0	27.0
88	2|1|1|3|2|1	1|1|1|1|1|1	36.0	45.0	6.0
90	1|2|2|2|2|2|2|2|1|1|2|1|1|2|1|1|2|1|1	1|3|3|2|2|2|1|3|3|2|2|2|1|2|2|1|1|1|1	43.0	43.0	19.0
91	1	1	43.0	49.0	1.0
93	1	1	45.0	43.0	1.0
94			49.0	45.0	0.0
97	1	1	45.0	43.0	1.0
98	2|1|1|4|3|2|1|1|4|3|2|1|3|2|1	1|1|1|2|2|2|2|1|1|1|1|1|1|1|1	36.0	36.0	15.0
99	1|2|2|2|2|2|2|2|1|1|2|1|1|2|1|1|2|1|1	1|3|3|2|2|2|1|3|3|2|2|2|1|2|2|1|1|1|1	36.0	36.0	19.0
100	1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1|5|4|4|3|4|3|3|2|4|3|3|2|3|2|2|1|5|4|4|3|4|3|3|2|4|3|3|2|3|2|2|1|4|3|3|2|3|2|2|1|3|2|2|1|2|1|1	126.0	73.0	48.0
107	2|1|1|3|2|1|1|3|2|1	1|1|1|2|2|2|1|1|1|1	249.0	27.0	10.0
112			33.0	27.0	0.0
113			43.0	27.0	0.0
117			27.0	43.0	0.0
120	2|1|1|3|2|1	1|1|1|1|1|1	72.0	66.0	6.0
122	1|2|1|1|1|2|1|1|2|1	1|1|1|1|1|2|2|1|1|1	371.0	574.0	10.0
124	1	1	574.0	66.0	1.0
126	1	1	43.0	371.0	1.0
127			72.0	371.0	0.0
129	1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|2|1	1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1|1|1	45.0	27.0	18.0
130	1|1|2|1	1|1|1|1	27.0	27.0	4.0
131	1|1|1|2|1|1|2|1	1|1|1|2|2|1|1|1	335.0	345.0	8.0
133	1|1|1	1|1|1	123.0	335.0	3.0
136	1	1	123.0	27.0	1.0
139	1	1	27.0	335.0	1.0
140	1|1|2|1|2|1	1|1|1|1|1|1	201.0	177.0	6.0
141	1|1|2|1|1|3|2|2|2|3|2|2|2|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|2|2|3|2|1|1|3|2|1	1|1|1|1|1|3|3|3|2|3|3|3|2|2|2|2|1|3|3|3|2|3|3|3|2|2|2|2|1|2|2|2|1|2|2|2|1|1|1|1	177.0	148.0	40.0
146	1	1	201.0	259.0	1.0
148	1	1	177.0	259.0	1.0
150	1|2|2|2|2|2|2|2|1|1|2|1|1|2|1|1|2|1|1	1|3|3|2|2|2|1|3|3|2|2|2|1|2|2|1|1|1|1	27.0	51.0	19.0
159	4|3|3|4|3|2|2|4|3|3|4|3|2|1|1|4|3|3|4|3|2|2|4|3|3|4|3|2|1|3|2|2|3|2|1|1|3|2|2|3|2|1|1|2|1|1|2|1|1|1|1	4|4|3|3|3|3|2|3|3|2|2|2|2|2|1|3|3|2|2|2|2|1|2|2|1|1|1|1|1|3|3|2|2|2|2|1|2|2|1|1|1|1|1|2|2|1|1|1|2|1|1	205.0	205.0	51.0
161	1|4|3|2|1|3|2|1|2|1	1|1|1|1|1|1|1|1|1|1	42.0	33.0	10.0
163			205.0	33.0	0.0
164			205.0	42.0	0.0
170	1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|2|2|2|1|1|2|2|2|1|1|2|2|2|1	2|1|1|1|1|4|3|3|3|2|3|2|2|2|1|4|3|3|3|2|3|2|2|2|1|3|2|2|2|1|2|1|1|1	381.0	381.0	34.0
173	1	1	19.0	381.0	1.0
176	1	1	19.0	381.0	1.0
183	1	1	510.0	333.0	1.0
184	1	1	156.0	142.0	1.0
186	1|1	1|1	510.0	156.0	2.0
188	1|2|1	1|1|1	333.0	255.0	3.0
192	1|4|3|2|2|4|3|2|1|2|1|3|2|1|1|3|2|1|1|5|4|3|3|5|4|3|2|2|2|5|4|3|3|5|4|3|2|2|2|5|4|3|3|5|4|3|2|2|2|5|4|3|3|5|4|3|2|2|2|5|4|3|3|5|4|3|2|1|1|5|4|3|3|5|4|3|2|1|1|5|4|3|3|5|4|3|2|1|1|5|4|3|3|5|4|3|2|1|1|5|4|3|3|5|4|3|2|1|1|5|4|3|3|5|4|3|2|1|1|5|4|3|3|5|4|3|2|1|1|5|4|3|3|5|4|3|2|1	1|2|2|2|1|1|1|1|1|1|1|2|2|2|1|1|1|1|1|5|5|5|4|4|4|4|4|4|3|4|4|4|3|3|3|3|3|3|2|4|4|4|3|3|3|3|3|3|2|3|3|3|2|2|2|2|2|2|1|5|5|5|4|4|4|4|4|4|3|4|4|4|3|3|3|3|3|3|2|4|4|4|3|3|3|3|3|3|2|3|3|3|2|2|2|2|2|2|1|4|4|4|3|3|3|3|3|3|2|3|3|3|2|2|2|2|2|2|1|3|3|3|2|2|2|2|2|2|1|2|2|2|1|1|1|1|1|1	312.0	220.0	138.0
194	1|1|4|3|3|3|4|3|3|3|3|4|3|3|3|4|3|3|3|3|4|3|2|2|4|3|2|2|2|4|3|2|2|4|3|2|2|2|4|3|2|2|4|3|2|1|1|4|3|2|2|4|3|2|1|1|4|3|2|2|4|3|2|1|1|4|3|2|2|4|3|2|1|2|1|2|1|3|2|1|1|3|2|1	1|1|4|4|4|3|3|3|3|3|2|3|3|3|2|2|2|2|2|1|4|4|4|3|3|3|3|3|2|3|3|3|2|2|2|2|2|1|4|4|4|3|3|3|3|3|2|3|3|3|2|2|2|2|2|1|3|3|3|2|2|2|2|2|1|2|2|2|1|1|1|1|1|1|1|1|1|2|2|2|1|1|1|1	156.0	463.0	84.0
200	1|2|1|1|1|2|2|1|1|1	1|1|1|1|1|2|1|2|1|1	102.0	64.0	10.0
201	3|2|1|1|3|2|1|2|1|1|4|3|2|2|4|3|2|1	2|2|2|1|1|1|1|1|1|1|2|2|2|1|1|1|1|1	78.0	64.0	18.0
202	1|1|1|2|1|3|2|2|2|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|2|2|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|2|1|1	2|1|1|1|1|4|4|4|3|3|3|3|2|3|3|3|2|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|2|2|2|1|1|1|1|1|1|1|1	712.0	543.0	48.0
205	1	1	367.0	64.0	1.0
215			27.0	333.0	0.0
216			27.0	36.0	0.0
217			27.0	309.0	0.0
223	1	1	19.0	66.0	1.0
224	1|1|1	2|1|1	19.0	69.0	3.0
226	1	1	110.0	100.0	1.0
227			100.0	27.0	0.0
232	1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1	2|1|1|4|3|3|2|3|2|2|1|3|2|2|1|3|2|2|1|2|1|1	148.0	234.0	22.0
233	1|1|1	2|1|1	148.0	96.0	3.0
234			81.0	234.0	0.0
237			153.0	148.0	0.0
238			33.0	148.0	0.0
240	1|2|2|1|1|1	1|2|1|2|1|1	126.0	33.0	6.0
241	1|1|2|2|2|2|2|2|2|1|1|2|1|1|2|1|1|2|1	1|1|3|3|2|2|2|1|3|3|2|2|2|1|2|2|1|1|1	33.0	33.0	19.0
248	1|1|1	2|1|1	58.0	33.0	3.0
249	1|1|1	2|1|1	126.0	78.0	3.0
254	3|2|1|2|1|1|1|4|3|2|1	1|1|1|1|1|1|1|1|1|1|1	119.0	82.0	11.0
256	1|1|1|1|3|2|1|2|1|2|2|2|1|3|3|3|2|1|1|3|3|3|2|1	1|2|1|1|1|1|1|1|1|2|1|1|1|3|2|2|2|2|1|2|1|1|1|1	942.0	1456.0	24.0
257	1|1|1	2|1|1	119.0	1456.0	3.0
258			119.0	942.0	0.0
259	1|1|1	2|1|1	1456.0	418.0	3.0
260			82.0	1456.0	0.0
265	1|1|1|1|1|1|1|2|1	1|2|1|1|2|1|1|1|1	340.0	126.0	9.0
266	1|1|1|1|2|1|1|1|1|2|2|2|1	2|1|1|1|1|1|2|1|1|2|1|1|1	126.0	157.0	13.0
269	1|1	1|1	429.0	126.0	2.0
272	1	1	120.0	126.0	1.0
273	1|1|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|2|1	1|1|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1|1|1	43.0	27.0	27.0
276	1|1|1|1	2|1|1|1	43.0	43.0	4.0
277			27.0	43.0	0.0
279			43.0	43.0	0.0
283	2|1|1|2|1|1|3|2|2|3|2|1	2|2|1|1|1|1|2|2|1|1|1|1	48.0	60.0	12.0
286			48.0	25.0	0.0
287	1|2|1|1|2|1	1|2|2|1|1|1	48.0	33.0	6.0
289	1|2|1	1|1|1	60.0	265.0	3.0
291	1|1	1|1	151.0	174.0	2.0
293	1|1|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|2|1	1|1|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1|1|1	45.0	27.0	27.0
296			27.0	151.0	0.0
301	4|3|2|1|1|1|2|1|1|3|2|1|2|1	1|1|1|1|1|1|1|1|1|1|1|1|1|1	159.0	136.0	14.0
302	3|2|1|1|3|2|1|3|2|1|2|1|1|1|2|1	2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1	159.0	231.0	16.0
303	2|1|1|2|1|1	2|2|1|1|1|1	61.0	33.0	6.0
305	1	1	159.0	33.0	1.0
309	1	1	231.0	61.0	1.0
310	1	1	159.0	61.0	1.0
311	1|1	1|1	36.0	36.0	2.0
312	1|2|1|1|2|1|1|3|2|2|3|2|1	1|2|2|1|1|1|1|2|2|1|1|1|1	36.0	64.0	13.0
313	3|3|2|2|2|2|3|3|2|2|2|2|2|2|3|3|2|2|2|2|3|3|2|2|1|1|1|1|3|3|2|2|2|2|3|3|2|2|1|1|1|1|1|1|1|1|1|1|1|2|1|1|2|1|2|2|2|2|2|2|2|1|1	4|3|4|3|3|2|3|2|3|2|3|2|2|1|4|3|4|3|3|2|3|2|3|2|3|2|2|1|3|2|3|2|2|1|2|1|2|1|2|1|1|1|3|2|2|1|2|1|1|2|2|1|1|1|3|2|2|1|2|1|1|1|1	475.0	1881.0	63.0
315	2|1|2|2|2|2|2|2|1|1|1|1|1|1|1|3|2|1	1|1|3|2|2|1|2|1|2|1|1|1|2|1|1|1|1|1	475.0	475.0	18.0
